,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
11605,Gary Harris,ORL,26.0,193.04,95.25432,Michigan State,USA,2014,1,19,39,9.9,2.0,2.0,-4.2,0.019,0.054000000000000006,0.16399999999999998,0.511,0.102,2020-21
11606,Gary Clark,PHI,26.0,198.12,102.0582,Cincinnati,USA,Undrafted,Undrafted,Undrafted,39,3.1,2.9,0.8,-7.7,0.044000000000000004,0.125,0.09699999999999999,0.436,0.064,2020-21
11607,Garrison Mathews,WAS,24.0,195.58,97.52228000000001,Lipscomb,USA,Undrafted,Undrafted,Undrafted,64,5.5,1.4,0.4,-5.6,0.015,0.065,0.111,0.635,0.032,2020-21
11608,Garrett Temple,CHI,35.0,195.58,88.45044,Louisiana State,USA,Undrafted,Undrafted,Undrafted,56,7.6,2.9,2.2,1.5,0.019,0.08199999999999999,0.126,0.525,0.10400000000000001,2020-21
11609,Gabriel Deck,OKC,26.0,198.12,104.779752,None,Argentina,Undrafted,Undrafted,Undrafted,10,8.4,4.0,2.4,-12.7,0.067,0.11800000000000001,0.159,0.5479999999999999,0.16,2020-21
11610,Iman Shumpert,BKN,31.0,195.58,96.16150400000001,Georgia Tech,USA,2011,1,17,2,1.0,0.5,0.0,-4.3,0.077,0.0,0.185,0.25,0.0,2020-21
11611,Immanuel Quickley,NYK,22.0,190.5,86.18248,Kentucky,USA,2020,1,25,64,11.4,2.1,2.0,7.1,0.02,0.086,0.24600000000000002,0.557,0.16399999999999998,2020-21
11612,Isaac Bonga,WAS,21.0,203.2,81.64656,None,Germany,2018,2,39,40,2.0,1.7,0.6,-3.3,0.042,0.1,0.10099999999999999,0.461,0.07200000000000001,2020-21
11613,Isaac Okoro,CLE,20.0,195.58,102.0582,Auburn,USA,2020,1,5,67,9.6,3.1,1.9,-8.7,0.031,0.066,0.142,0.514,0.086,2020-21
11614,DeAndre Jordan,BKN,32.0,210.82,120.20188,Texas A&M,USA,2008,2,35,57,7.5,7.5,1.6,-1.9,0.09699999999999999,0.231,0.128,0.736,0.099,2020-21
11615,Jamal Murray,DEN,24.0,190.5,97.52228000000001,Kentucky,Canada,2016,1,7,48,21.2,4.0,4.8,8.0,0.023,0.095,0.244,0.5920000000000001,0.19699999999999998,2020-21
11616,Jalen Smith,PHX,21.0,208.28,97.52228000000001,Maryland,USA,2020,1,10,27,2.0,1.4,0.1,-4.4,0.044000000000000004,0.174,0.161,0.499,0.037000000000000005,2020-21
11617,Jalen McDaniels,CHA,23.0,205.74,92.98635999999999,San Diego State,USA,2019,2,52,47,7.4,3.6,1.1,-9.4,0.047,0.138,0.16899999999999998,0.5539999999999999,0.09,2020-21
11618,Jalen Lecque,IND,21.0,193.04,83.91452,None,USA,Undrafted,Undrafted,Undrafted,4,1.3,1.3,0.5,-14.8,0.083,0.2,0.263,0.242,0.33299999999999996,2020-21
11619,Jalen Harris,TOR,22.0,195.58,88.45044,Nevada,USA,2020,2,59,13,7.4,1.4,1.3,0.3,0.017,0.091,0.21899999999999997,0.632,0.153,2020-21
11620,Jalen Brunson,DAL,24.0,185.42,86.18248,Villanova,USA,2018,2,33,68,12.6,3.4,3.5,4.9,0.016,0.11699999999999999,0.196,0.618,0.215,2020-21
11621,Jakob Poeltl,SAS,25.0,215.9,111.13004,Utah,Austria,2016,1,9,69,8.6,7.9,1.9,3.2,0.114,0.17300000000000001,0.13,0.612,0.096,2020-21
11622,Jake Layman,MIN,27.0,203.2,94.800728,Maryland,USA,2016,2,47,45,5.1,1.5,0.6,-5.8,0.019,0.083,0.147,0.5770000000000001,0.067,2020-21
11623,Jahmi'us Ramsey,SAC,20.0,190.5,86.18248,Texas Tech,USA,2020,2,43,13,3.1,0.8,0.5,2.4,0.019,0.08,0.183,0.498,0.08800000000000001,2020-21
11624,Jahlil Okafor,DET,25.0,208.28,122.46983999999999,Duke,USA,2015,1,3,27,5.4,2.4,0.5,-10.2,0.07,0.11900000000000001,0.17,0.644,0.066,2020-21
11625,Jae'Sean Tate,HOU,25.0,193.04,104.32616,Ohio State,USA,Undrafted,Undrafted,Undrafted,70,11.3,5.3,2.5,-3.8,0.06,0.11800000000000001,0.161,0.5760000000000001,0.127,2020-21
11626,Gabe Vincent,MIA,25.0,190.5,90.7184,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,50,4.8,1.1,1.3,-5.9,0.016,0.068,0.184,0.498,0.161,2020-21
11627,Jae Crowder,PHX,30.0,198.12,106.59411999999999,Marquette,USA,2012,2,34,60,10.1,4.7,2.1,6.3,0.02,0.146,0.152,0.574,0.102,2020-21
11628,Jabari Parker,BOS,26.0,203.2,111.13004,Duke,USA,2014,1,2,13,5.5,3.2,0.8,-5.5,0.055999999999999994,0.18,0.175,0.593,0.105,2020-21
11629,JaVale McGee,DEN,33.0,213.36,122.46983999999999,Nevada-Reno,USA,2008,1,18,46,7.3,5.2,0.8,-6.1,0.105,0.231,0.228,0.541,0.098,2020-21
11630,JaMychal Green,DEN,31.0,203.2,102.965384,Alabama,USA,Undrafted,Undrafted,Undrafted,58,8.1,4.8,0.9,4.1,0.07200000000000001,0.177,0.172,0.59,0.07,2020-21
11631,JaKarr Sampson,IND,28.0,200.66,97.068688,St. John's,USA,Undrafted,Undrafted,Undrafted,29,4.6,2.7,0.1,1.1,0.08,0.145,0.177,0.5329999999999999,0.017,2020-21
11632,Ja Morant,MEM,21.0,190.5,78.92500799999999,Murray State,USA,2019,1,2,63,19.1,4.0,7.4,2.6,0.027000000000000003,0.091,0.267,0.537,0.321,2020-21
11633,JJ Redick,DAL,37.0,190.5,90.7184,Duke,USA,2006,1,11,44,7.4,1.5,1.2,-1.3,0.006,0.08199999999999999,0.184,0.564,0.098,2020-21
11634,Ivica Zubac,LAC,24.0,213.36,108.86208,None,Croatia,2016,2,32,72,9.0,7.2,1.3,5.0,0.121,0.2,0.147,0.693,0.079,2020-21
11635,Ish Smith,WAS,32.0,182.88,79.3786,Wake Forest,USA,Undrafted,Undrafted,Undrafted,44,6.7,3.4,3.9,2.3,0.022000000000000002,0.131,0.155,0.473,0.242,2020-21
11636,Isaiah Stewart,DET,20.0,203.2,113.398,Washington,USA,2020,1,16,68,7.9,6.7,0.9,-2.0,0.105,0.193,0.15,0.597,0.064,2020-21
11637,Isaiah Roby,OKC,23.0,203.2,104.32616,Nebraska-Lincoln,USA,2019,2,45,61,8.7,5.6,1.8,-14.1,0.057,0.16899999999999998,0.171,0.555,0.11800000000000001,2020-21
11638,Isaiah Joe,PHI,21.0,193.04,74.84268,Arkansas,USA,2020,2,49,41,3.7,0.9,0.5,1.8,0.013999999999999999,0.083,0.163,0.5329999999999999,0.07200000000000001,2020-21
11639,Isaiah Hartenstein,CLE,23.0,213.36,113.398,None,Germany,2017,2,43,46,5.1,3.9,1.2,2.1,0.114,0.207,0.187,0.583,0.147,2020-21
11640,Jaden McDaniels,MIN,20.0,205.74,83.91452,Washington,USA,2020,1,28,63,6.8,3.7,1.1,-3.4,0.032,0.11800000000000001,0.11800000000000001,0.552,0.064,2020-21
11641,Furkan Korkmaz,PHI,23.0,200.66,91.625584,None,Turkey,2016,1,26,55,9.1,2.1,1.5,6.0,0.015,0.09,0.195,0.544,0.111,2020-21
11642,Isaiah Thomas,NOP,32.0,175.26,83.91452,Washington,USA,2011,2,60,3,7.7,1.3,1.7,6.7,0.019,0.052000000000000005,0.27399999999999997,0.41200000000000003,0.16699999999999998,2020-21
11643,Fred VanVleet,TOR,27.0,185.42,89.357624,Wichita State,USA,Undrafted,Undrafted,Undrafted,52,19.6,4.2,6.3,3.3,0.016,0.10099999999999999,0.237,0.534,0.264,2020-21
11644,Dillon Brooks,MEM,25.0,200.66,102.0582,Oregon,Canada,2017,2,45,67,17.2,2.9,2.3,4.5,0.026000000000000002,0.069,0.256,0.515,0.11199999999999999,2020-21
11645,Didi Louzada,NOP,21.0,195.58,85.275296,None,Brazil,2019,2,35,3,2.7,1.0,1.0,-7.3,0.015,0.032,0.114,0.308,0.073,2020-21
11646,Dewayne Dedmon,MIA,31.0,213.36,111.13004,Southern California,USA,Undrafted,Undrafted,Undrafted,16,7.1,5.4,0.8,17.1,0.13699999999999998,0.282,0.183,0.735,0.083,2020-21
11647,Devonte' Graham,CHA,26.0,185.42,88.45044,Kansas,USA,2018,2,34,55,14.8,2.7,5.4,2.1,0.013000000000000001,0.075,0.21100000000000002,0.552,0.272,2020-21
11648,Devontae Cacok,LAL,24.0,200.66,108.86208,North Carolina-Wilmington,USA,Undrafted,Undrafted,Undrafted,20,2.0,1.6,0.1,18.1,0.11699999999999999,0.183,0.154,0.5760000000000001,0.013000000000000001,2020-21
11649,Devon Dotson,CHI,21.0,187.96,83.91452,Kansas,USA,Undrafted,Undrafted,Undrafted,11,2.1,0.5,0.6,21.7,0.039,0.061,0.16,0.5479999999999999,0.2,2020-21
11650,Devin Vassell,SAS,20.0,195.58,90.7184,Florida State,USA,2020,1,11,62,5.5,2.8,0.9,-2.4,0.021,0.138,0.138,0.524,0.071,2020-21
11651,Devin Cannady,ORL,25.0,187.96,83.007336,Princeton,USA,2019,Undrafted,Undrafted,8,4.3,0.6,0.1,-13.7,0.0,0.065,0.18100000000000002,0.547,0.023,2020-21
11652,Devin Booker,PHX,24.0,195.58,93.439952,Kentucky,USA,2015,1,13,67,25.6,4.2,4.3,7.2,0.016,0.10800000000000001,0.319,0.5870000000000001,0.2,2020-21
